Prefix,Department ID,Department,Description of Asset,Asset Number,SAP No.,Type,Manufacturer/Supplier,Model,Mfg SN,Mfg Year,Est Value,Maintenance Frequency,Require Calibration,Functional Location,Functional Loc. Description,Assign Project,Floor,Prod. Line,Start Date,Due Date,Day Left,Status,Remark,Index
MICDE,88-15ME-MICDE-005,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD34,DELL PRO MICRO DESKTOP,FXCHXC4,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,300
MICDE,88-15ME-MICDE-006,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD35,DELL PRO MICRO DESKTOP,GWCHXC4,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,301
MICDE,88-15ME-MICDE-007,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD36,DELL PRO MICRO DESKTOP,5XCHXC4,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,302
MICDE,88-15ME-MICDE-008,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD37,DELL PRO MICRO DESKTOP,DXCHXC4,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,303
MICDE,88-15ME-MICDE-009,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD38,DELL PRO MICRO DESKTOP,9XCHXC4,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,304
MICDE,88-15ME-MICDE-010,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD39,DELL PRO MICRO DESKTOP,1XCHXC4,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,305
MICDE,88-15ME-MICDE-011,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD40,DELL PRO MICRO DESKTOP,HWCHXC4,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,306
MICDE,88-15ME-MICDE-012,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD41,DELL PRO MICRO DESKTOP,BWCHXC4,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,307
MICDE,88-15ME-MICDE-013,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD42,DELL PRO MICRO DESKTOP,5WCHXC4,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,308
MICDE,88-15ME-MICDE-014,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD43,DELL PRO MICRO DESKTOP,J7DHXC4,2025.0,,,,,,AIPER,F2_LINE,,,,,Idle,,309
MICDE,88-15ME-MICDE-015,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD44,DELL PRO MICRO DESKTOP,7YCHXC4,2025.0,,,,,,AIPER,,,,,,Idle,,310
MICDE,88-15ME-MICDE-016,,MICRO DESKTOP COMPUTER - OPTIPLEX MICRO SERIES,16200273,,EQUIPMENT,DELL/ADVANCE FIRST COMPUTER/88PROD45,DELL PRO MICRO DESKTOP,7XCHXC4,2025.0,,,,,,AIPER,,,,,,Idle,,311
WDF031,88-15ME-WDF031-001,,MOTOR COMPARTMENT SCREW FIXTURE,,,JIG,,VS-WDF031,WDF20251129-031-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,312
WDF031,88-15ME-WDF031-002,,MOTOR COMPARTMENT SCREW FIXTURE,,,JIG,,VS-WDF031,WDF20251129-031-002,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,313
AIPT,88-15ME-AIPT-005,,N SERIES MOTOR COMPARTMENT TESTER - ATE,14501367,1000007874.0,TESTER,NA,N PRODUCT,NA,NA,,NONE,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,,2026-03-09,,,Good,,314
PDTM,88-15ME-PDTM-001,,PACKAGE DROP TEST MACHINE,I06145,,MACHINE,SUNMAX ACTIVE TECHNOLOGY,,,,,,,,,,,,,,,Idle,,315
QUISO,88-15ME-QUISO-001,,QUICK SOLDERING MACHINE,I08261,,MACHINE,ATOM ELECTRONIC,QUICKET9483EQLI312NF04406,EA-20220606-0019,2022.0,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,316
QUISO,88-15ME-QUISO-002,,QUICK SOLDERING MACHINE,I08263,,MACHINE,ATOM ELECTRONIC,QUICKET9483EQLI312NF04406,EA-20230106-0006,2023.0,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,317
QUISO,88-15ME-QUISO-003,,QUICK SOLDERING MACHINE,I08264,,MACHINE,ATOM ELECTRONIC,QUICKET9483EQLI312NF04406,EA-20230501-0001,2023.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,318
AIPT,88-15ME-AIPT-006,,SEALING TESTER,18200373,1000007872.0,TESTER,NA,NA,NA,2025.0,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,,2026-03-09,2026-06-07,69,Good,,319
AIPT,88-15ME-AIPT-007,,SEALING TESTER,18200373,NA,TESTER,NA,NA,NA,2025.0,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MC,2026-03-09,2026-06-07,69,Good,,320
WDF040,88-15ME-WDF040-001,,SEMI FINISHED ASSEMBLY FIXTURE,,,JIG,,VS-WDF040,WDF20251129-040-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,321
WDF040,88-15ME-WDF040-002,,SEMI FINISHED ASSEMBLY FIXTURE,,,JIG,,VS-WDF040,WDF20251129-040-002,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,322
WDF040,88-15ME-WDF040-003,,SEMI FINISHED ASSEMBLY FIXTURE,,,JIG,,VS-WDF040,WDF20251129-040-003,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,323
WDF040,88-15ME-WDF040-004,,SEMI FINISHED ASSEMBLY FIXTURE,,,JIG,,VS-WDF040,WDF20251129-040-004,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,324
SDM,88-15ME-SDM-001,,SEMIAUTOMATIC DISPENSING MACHINE,,,MACHINE,,TFT-2600ML-A,16874587,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,325
SDM,88-15ME-SDM-002,,SEMIAUTOMATIC DISPENSING MACHINE,,,MACHINE,,TFT-2600ML-A,16874575,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,326
SDM,88-15ME-SDM-003,,SEMIAUTOMATIC DISPENSING MACHINE,,,MACHINE,,TFT-2600ML-A,16874584,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,327
SDM,88-15ME-SDM-004,,SEMIAUTOMATIC DISPENSING MACHINE,,,MACHINE,,TFT-2600ML-A,16874576,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,328
SH4CO,88-15ME-SH4CO-001,,SH4 CONVEYOR MACHINE,I05988,,MACHINE,SYNERGY,,,2021.0,,,,,,,,,,,,Idle,,329
SH4CO,88-15ME-SH4CO-002,,SH4 CONVEYOR MACHINE,I05989,,MACHINE,SYNERGY,,,2021.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,330
SH4CO,88-15ME-SH4CO-003,,SH4 CONVEYOR MACHINE,I08039,,MACHINE,SYNERGY,SH4-2 1-1200-450-E 150-1-N,SH21392,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,331
SH5BW,88-15ME-SH5BW-001,,SH5 BW45018 CONVEYOR,I07875,,MACHINE,SYNERGY,SH5-2 1-1800-450-E 150-1-N,SH212223,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,332
SH5BW,88-15ME-SH5BW-002,,SH5 BW45018 CONVEYOR,I07276,,MACHINE,SYNERGY,SH5-2 1-1800-450-E 150-1-N,,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,333
WDF009,88-15ME-WDF009-001,,SHELL HANDLE SCREW FIXTURE,,,JIG,,VS-WDF009,WDF20251129-009-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,334
WDF028,88-15ME-WDF028-001,,SIDE JET MOTOR OIL SEAL PRESS FIXTURE,,,FIXTURE,,VS-WDF028,WDF20251129-028-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,335
WDF029,88-15ME-WDF029-001,,SIDE JET MOTOR SCREW FIXTURE,,,JIG,,VS-WDF029,WDF20251129-029-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,336
SDDJA,88-15ME-SDDJA-001,,SINGLE DISPENSING DOUBLE JIG MACHINE,I06868,14556987.0,MACHINE,JTU PTE LTD,TS350-2,B2Y21062912,2021.0,,MONTHLY,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,2026-02-21,2026-03-23,-7,Expired,,337
SDDJA,88-15ME-SDDJA-002,,SINGLE DISPENSING DOUBLE JIG MACHINE,I08369,,MACHINE,JTU PTE LTD,TS350-2,B2Y2206025,2022.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,338
SINLA,88-15ME-SINLA-001,,SINGLE LAYER CONVEYOR -SH4,I07876,,MACHINE,SYNERGY,,,2021.0,,,,,,,,,,,,Idle,,339
SINLA,88-15ME-SINLA-002,,SINGLE LAYER CONVEYOR -SH4,I07881,,MACHINE,SYNERGY,,,2021.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,340
SINLA,88-15ME-SINLA-003,,SINGLE LAYER CONVEYOR -SH4,I07950,,MACHINE,SYNERGY,,,2021.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,341
SSDJA,88-15ME-SSDJA-001,,SINGLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,I07993,,MACHINE,CHANG SOON,WT-4221-2Y,2021SF003,2021.0,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,342
SSSJA,88-15ME-SSSJA-001,,SINGLE SCREW SINGLE JIG AUTOMATIC SCREW MACHINE,I06858,,MACHINE,EVOLUTION MARKETING,SC-380,BD0218050409,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,343
SSSJA,88-15ME-SSSJA-002,,SINGLE SCREW SINGLE JIG AUTOMATIC SCREW MACHINE,I07679,,MACHINE,EVOLUTION MARKETING,SC-380,BD0218050413,2021.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,344
SMAOW,88-15ME-SMAOW-001,,SMART OWEIGHING MACHINE,I07901,,MACHINE,IRADAR,,,,,,,,,,,,,,,Idle,,345
SMAOW,88-15ME-SMAOW-002,,SMART OWEIGHING MACHINE,I07902,,MACHINE,IRADAR,,,,,,,OBSOLETE,,,,,,,,Idle,TRANSFER 16EM,346
SPE,88-15ME-SPE-001,,SPECTROPHOTOMETER,I06864,,EQUIPMENT,SUNMAX ACTIVE TECHNOLOGY,,,,,,,,,,,,,,,Idle,,347
SPIDR,88-15ME-SPIDR-001,,SPIN DRYER MACHINE,14501345,1000007890.0,MACHINE,SKYER TECHNOLOGIES PLT,,,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,348
SPIDR,88-15ME-SPIDR-002,,SPIN DRYER MACHINE,14501348,,MACHINE,SKYER TECHNOLOGIES PLT,,,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,349
WDF010,88-15ME-WDF010-001,,TOP COVER RADIUM JIG,,,JIG,,VS-WDF010,WDF20251129-010-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,350
TRASI,88-15ME-TRASI-001,,TRANSPORT SIMULATION VIBRATION,I06146,,MACHINE,SUNMAX ACTIVE TECHNOLOGY,,,,,,,,,,,,,,,Idle,,351
WDF025,88-15ME-WDF025-001,,TRAVEL MOTOR ACCESSORIES FIXTURE,,,JIG,,VS-WDF025,WDF20251129-025-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,352
WDF024,88-15ME-WDF024-001,,TRAVEL MOTOR BRACKET SCREW FIXTURE,,,JIG,,VS-WDF024,WDF20251129-024-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,353
WDF022,88-15ME-WDF022-001,,TRAVEL MOTOR OIL SEAL PRESS FIXTURE,,,FIXTURE,,VS-WDF022,WDF20251129-022-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,354
WDF023,88-15ME-WDF023-001,,TRAVEL MOTOR SCREW FIXTURE,,,JIG,,VS-WDF023,WDF20251129-023-002,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,355
WDF023,88-15ME-WDF023-002,,TRAVEL MOTOR SCREW FIXTURE,,,JIG,,VS-WDF023,WDF20251129-023-002,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,356
AIPT,88-15ME-AIPT-008,,N SERIES TRAVEL MOTOR TESTER,14501367,1000007871.0,TESTER,NA,NA,NA,NA,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 1 MCBC,2026-03-09,2026-06-07,69,Good,,357
TUNDR,88-15ME-TUNDR-001,,TUNNEL DRYING FURNACE,14501346,1000007858.0,MACHINE,QIANCHENGXIN,ZDSGHDL-20250808,ZG2025091001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,358
TUNDR,88-15ME-TUNDR-002,,TUNNEL DRYING FURNACE,14501347,,MACHINE,QIANCHENGXIN,ZDSGHDL-20250808,ZG2025091002,2025.0,,,,,,AIPER,F2_LINE,,,,,Idle,,359
TIF,88-15ME-TIF-001,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,,Idle,,360
TIF,88-15ME-TIF-002,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,,Idle,,361
TIF,88-15ME-TIF-003,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,,Idle,,362
TIF,88-15ME-TIF-004,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,,Idle,,363
TIF,88-15ME-TIF-005,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,,Idle,,364
TIF,88-15ME-TIF-006,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,,Idle,,365
TIF,88-15ME-TIF-007,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,,Idle,,366
TIF,88-15ME-TIF-008,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,,Idle,,367
TIF,88-15ME-TIF-009,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,,Idle,,368
ULTPL,88-15ME-ULTPL-001,,ULTRASONIC PLASTIC WELDER,I08083,,MACHINE,KSONIC,K3000A,K1167,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,369
ULTPL,88-15ME-ULTPL-002,,ULTRASONIC PLASTIC WELDER,I08082,,MACHINE,KSONIC,KWB2615-L,K1168,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,370
ULTPL,88-15ME-ULTPL-003,,ULTRASONIC PLASTIC WELDER,I08088,,MACHINE,KSONIC,IBA-F1530S,K1339,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,371
ULTPL,88-15ME-ULTPL-004,,ULTRASONIC PLASTIC WELDER,,,MACHINE,KSONIC,KWB2615-L,K1169,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,372
UCM,88-15ME-UCM-001,,UV CURING MACHINE,,,MACHINE,VS78,,,,,,,,,,,,,,,Idle,,373
UCM,88-15ME-UCM-002,,UV CURING MACHINE,,,MACHINE,SKYER TECHNOLOGIES PLT,,,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,374
VERLI,88-15ME-VERLI-001,,VERTICAL LIFTER CONVENYOR,I07896,,MACHINE,JTU PTE LTD,SJ-L5BS,20220325001,2022.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,375
VERLI,88-15ME-VERLI-002,,VERTICAL LIFTER CONVENYOR,I07516,,MACHINE,JTU,SJ-L5BS,20220105001,2022.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,376
VERLI,88-15ME-VERLI-003,,VERTICAL LIFTER CONVENYOR,I08033,,MACHINE,,SJ-L5BS,20211018004,2021.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,377
VERLI,88-15ME-VERLI-004,,VERTICAL LIFTER CONVENYOR,I08034,,MACHINE,,SJ-L5BS,20211018001,2021.0,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,378
VISCH,88-15ME-VISCH-001,,VISION CHECKING SYSTEM,I08483,,MACHINE,WANDEL,,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,,379
VISCH,88-15ME-VISCH-002,,VISION CHECKING SYSTEM,I07951,,EQUIPMENT,WANDEL,,,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,380
VISCH,88-15ME-VISCH-003,,VISION CHECKING SYSTEM,I07815,,EQUIPMENT,WANDEL,,,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,381
AIPT,88-15ME-AIPT-009,,N SERIES DRAIN PUMP MOTOR TESTER,14501367,1000007864,TESTER,NA,NA,NA,NA,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 1 MCTC,2026-03-09,2026-06-07,69,Good,,382
WDF006,88-15ME-WDF006-001,,WATER RETAIN STRIP CUT FIXTURE 1,,,FIXTURE,,VS-WDF006,WDF20251129-006-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,383
WDF039,88-15ME-WDF039-001,,WATER RETAIN STRIP CUT FIXTURE 2,,,FIXTURE,,VS-WDF039,WDF20251129-039-001,2025.0,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,,384
WSFR,88-15ME-WSFR-001,,WATERON SCREW FASTENING ROBOT,I07994,,MACHINE,CHANG SOON,WT-4221-2Y,2021SF001,2021.0,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,,385
WSS,88-15ME-WSS-001,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,,Idle,,386
WSS,88-15ME-WSS-002,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,,Idle,,387
WSS,88-15ME-WSS-003,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,,Idle,,388
WSS,88-15ME-WSS-004,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,,Idle,,389
WSS,88-15ME-WSS-005,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,,Idle,,390
WRAMA,88-15ME-WRAMA-001,,WRAPPING MACHINE,I08118,,MACHINE,SUNSTREAM INDUSTRIES,,,,,,,,,,,,,,,Idle,,391
ZZ6L,88-15ME-ZZ6L-001,,ZEBRA ZT411 600DPI LABEL,I06072,,EQUIPMENT,ZEBRA,,,,,,,,,,,,,,,Idle,,392
ZZ6L,88-15ME-ZZ6L-002,,ZEBRA ZT411 600DPI LABEL,I07271,,EQUIPMENT,ZEBRA,,,,,,,OBSOLETE,,,,,,,,Idle,TRANSFER TO 15AS,393
ZZ6L,88-15ME-ZZ6L-003,,ZEBRA ZT411 600DPI LABEL,I07270,,EQUIPMENT,ZEBRA,,,,,,,,,,,,,,,Idle,,394
ZZ6L,88-15ME-ZZ6L-004,,ZEBRA ZT411 600DPI LABEL,I08061,,EQUIPMENT,DSQUARED,,,,,,,OBSOLETE,,,,,,,,Idle,TRANSFER 16P,395
ZP,88-15ME-ZP-001,,ZEBRA PRINTER,,,EQUIPMENT,LYC,G123,20161201123456,2026.0,,YEARLY,,,,,,,2026-02-20,2027-02-20,327,Good,,396
ZP,88-15ME-ZP-002,15ME,ZEBRA PRINTER,,,EQUIPMENT,LYC,G123,2025120512356,2025.0,,MONTHLY,,,,,,,2026-02-20,2026-03-22,-8,Expired,,397
TDT,88-15ME-TDT-001,15ME,TORQUE DRIVER TESTER,NA,NA,EQUIPMENT,HIOS,13456,123456,2021,NA,YEARLY,Yes,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,WORKSHOP,2026-02-28,2027-02-28,335,Good,,
TDT,88-15ME-TDT-002,15ME,TORQUE DRIVER TESTER,NAN,NAN,EQUIPMENT,HIOS,13456,789456,2021,,YEARLY,YES,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,,2026-02-28,2027-02-28,335,Good,,
AIPJ011,88-15ME-AIPJ011-001,15ME,E1-G TRAVEL MOTOR LOCK SIDE SCREW JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2026,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MCBC,2026-03-03,2026-06-01,63,Good,,
AIPJ011,88-15ME-AIPJ011-002,15ME,E1-G TRAVEL MOTOR LOCK SIDE SCREW JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2026,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2  MCBC,2026-03-03,2026-06-01,63,Good,,
AIPJ005,88-15ME-AIPJ005-001,15ME,E1-G MOTOR COMPARTMENT TOP COVER JIG,NA,NA,JIG,AIPER,E1-G,2026-03,20241114,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,SUBLINE 2 MCTC,2026-03-03,2026-06-01,63,Good,,
AIPJ005,88-15ME-AIPJ005-002,15ME,E1-G MOTOR COMPARTMENT TOP COVER JIG,NA,NA,JIG,AIPER,E1-G,2026-03,20241114,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,SUBLINE 2 MCTC,2026-03-03,2026-06-01,63,Good,,
AIPJ005,88-15ME-AIPJ005-003,15ME,E1-G MOTOR COMPARTMENT TOP COVER JIG,NA,NA,JIG,AIPER,E1-G,2026-03,20251114,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,SUBLINE 2 MCTC,2026-03-03,2026-06-01,63,Good,,
AIPJ006,88-15ME-AIPJ006-001,15ME,E1-G MOTOR COMPARTMENT BOTTOM COVER JIG,NA,NA,JIG,AIPER,E1-G,2026-03,20241114,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,SUBLINE 2 MCBC,2026-03-03,2026-06-01,63,Good,,
AIPJ006,88-15ME-AIPJ006-002,15ME,E1-G MOTOR COMPARTMENT BOTTOM COVER JIG,NA,NA,JIG,AIPER,E1-G,2026-03,20241114,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,SUBLINE 2 MCBC,2026-03-03,2026-06-01,63,Good,,
AIPF003,88-15ME-AIPF003-001,15ME,E1-G MOTOR SLEEVE PRESS FIXTURE,NA,NA,FIXTURE,AIPER,E1-G,2026-03,20251010,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,SUBLINE 2 MCTC,2026-03-03,2026-06-01,63,Good,,
AIP005,,15ME,E1-G DRAIN MOTOR SHAFT SEAL PRESS FIXTURE,NA,NA,FIXTURE,AIPER,E1-G,2026-03,20251010,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,SUBLINE 2 MCTC,2026-03-03,2026-06-01,63,Good,,
AIPF002,88-15ME-AIPF002-001,15ME,E1-G DRAIN MOTOR SCREW FIXTURE,NA,NA,FIXTURE,AIPER,E1-G,2026-03,20251010,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,SUBLINE 2MCBC,2026-03-03,2026-06-01,63,Good,,
AIPF005,88-15ME-AIPF005-001,15ME,E1-G DRAIN MOTOR SHAFT SEAL PRESS FIXTURE,NA,NA,FIXTURE,AIPER,E1-G,2026-03,20241010,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MCTC,2026-03-03,2026-06-01,63,Good,,
AIPF001,88-15ME-AIPF001-001,15ME,E1-G BUTTON HEAT STAKING FIXTURE,NA,NA,FIXTURE,AIPER,E1-G,2026-03,20241010,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 TC,2026-03-03,2026-06-01,63,Good,,
AIPF004,88-15ME-AIPF004-001,15ME,E1-G TRAVEL MOTOR SIDE PRESS FIXTURE,NA,NA,FIXTURE,AIPER,E1-G,2026-03,20241010,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MCTC,2026-03-03,2026-06-01,63,Good,,
